fecha,partido,resultado,competencia,team_id
"Dom., 15 de Jun.",Haití,0 - 1,Arabia Saudita,2654
"Mar., 10 de Jun.",Haití,1 - 5,Curaçao,2654
"Sáb., 7 de Jun.",Aruba,0 - 5,Haití,2654
"Sáb., 22 de Mar.",Azerbaiyán,0 - 3,Haití,2654
"Lun., 18 de Nov.",Haití,3 - 0,Puerto Rico,2654
"Vie., 15 de Nov.",Sint Maarten,0 - 8,Haití,2654
"Lun., 14 de Oct.",Haití,5 - 3,Aruba,2654
"Vie., 11 de Oct.",Aruba,1 - 3,Haití,2654
"Lun., 9 de Sep.",Haití,6 - 0,Sint Maarten,2654
"Vie., 6 de Sep.",Puerto Rico,1 - 4,Haití,2654
"Dom., 9 de Jun.",Barbados,1 - 3,Haití,2654
"Jue., 6 de Jun.",Haití,2 - 1,St. Lucia,2654
"Sáb., 23 de Mar.",French Guiana,1 - 1,Haití,2654
"Sáb., 6 de Jun.",Bolívia,0 - 4,Escocia,580
"Sáb., 30 de May.",Escocia,4 - 1,Curaçao,580
"Mar., 31 de Mar.",Costa de Marfil,1 - 0,Escocia,580
"Sáb., 28 de Mar.",Escocia,0 - 1,Japón,580
"Mar., 18 de Nov.",Escocia,4 - 2,Dinamarca,580
"Sáb., 15 de Nov.",Grecia,3 - 2,Escocia,580
"Dom., 12 de Oct.",Escocia,2 - 1,Bielorrusia,580
"Jue., 9 de Oct.",Escocia,3 - 1,Grecia,580
"Lun., 8 de Sep.",Bielorrusia,0 - 2,Escocia,580
"Vie., 5 de Sep.",Dinamarca,0 - 0,Escocia,580
"Lun., 9 de Jun.",Liechtenstein,0 - 4,Escocia,580
"Vie., 6 de Jun.",Escocia,1 - 3,Islandia,580
"Dom., 23 de Mar.",Escocia,0 - 3Vuelta · Grecia gana 3-1 en marcador global,Grecia,580
"Jue., 20 de Mar.",Grecia,0 - 1Ida,Escocia,580
"Lun., 18 de Nov.",Polonia,1 - 2,Escocia,580
"Vie., 15 de Nov.",Escocia,1 - 0,Croacia,580
"Mar., 15 de Oct.",Escocia,0 - 0,Portugal,580
"Sáb., 12 de Oct.",Croacia,2 - 1,Escocia,580
"Dom., 8 de Sep.",Portugal,2 - 1,Escocia,580
"Jue., 5 de Sep.",Escocia,2 - 3,Polonia,580
"Dom., 23 de Jun.",Escocia,0 - 1,Hungría,580
"Mié., 19 de Jun.",Escocia,1 - 1,Suiza,580
"Vie., 14 de Jun.",Alemania,5 - 1,Escocia,580
"Vie., 7 de Jun.",Escocia,2 - 2,Finlandia,580
